/datalog,,,,,,,,,,,,
/@hardware,/@hardware/#agg,/@software,/hostname,/record/#id,/record/date,/record/probe/name,/record/probe/type,/record/probe/value,/record/probe/value/#agg,/serial,/timezone,/timezone/#agg
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Temp_2,Temp,21.2,21.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Temp_3,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Temp_5,Temp,21.5,21.5,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Temp_6,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_1A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_2A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_3A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_4A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_5A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_6A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Off_7A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Off_8A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_1W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_2W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_3W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_4W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_5W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Heater_6W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Off_7W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Off_8W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,07/08/2025 00:02:00,Volt_16,volts,115,115,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Temp_1,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Temp_4,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Temp_2,Temp,21.2,21.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Temp_3,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Temp_5,Temp,21.5,21.5,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Temp_6,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_1A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_2A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_3A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_4A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_5A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_6A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Off_7A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Off_8A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_1W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_2W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_3W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_4W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_5W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Heater_6W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Off_7W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Off_8W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,4,07/08/2025 00:03:00,Volt_16,volts,115,115,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Temp_1,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Temp_4,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Temp_2,Temp,21.2,21.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Temp_3,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Temp_5,Temp,21.5,21.5,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Temp_6,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_1A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_2A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_3A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_4A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_5A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_6A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Off_7A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Off_8A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_1W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_2W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_3W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_4W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_5W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Heater_6W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Off_7W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Off_8W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,5,07/08/2025 00:04:00,Volt_16,volts,116,116,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Temp_1,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Temp_4,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Temp_2,Temp,21.2,21.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Temp_3,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Temp_5,Temp,21.5,21.5,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Temp_6,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_1A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_2A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_3A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_4A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_5A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_6A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Off_7A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Off_8A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_1W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_2W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_3W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_4W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_5W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Heater_6W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Off_7W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Off_8W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,6,07/08/2025 00:05:00,Volt_16,volts,115,115,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Temp_1,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Temp_4,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Temp_2,Temp,21.2,21.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Temp_3,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Temp_5,Temp,21.5,21.5,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Temp_6,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_1A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_2A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_3A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_4A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_5A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_6A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Off_7A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Off_8A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_1W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_2W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_3W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_4W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_5W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Heater_6W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Off_7W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Off_8W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,7,07/08/2025 00:06:00,Volt_16,volts,115,115,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Temp_1,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Temp_4,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Temp_2,Temp,21.2,21.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Temp_3,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Temp_5,Temp,21.5,21.5,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Temp_6,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_1A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_2A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_3A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_4A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_5A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_6A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Off_7A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Off_8A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_1W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_2W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_3W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_4W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_5W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Heater_6W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Off_7W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Off_8W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,8,07/08/2025 00:07:00,Volt_16,volts,115,115,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Temp_1,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Temp_4,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Temp_2,Temp,21.2,21.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Temp_3,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Temp_5,Temp,21.5,21.5,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Temp_6,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_1A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_2A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_3A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_4A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_5A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_6A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Off_7A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Off_8A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_1W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_2W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_3W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_4W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_5W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Heater_6W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Off_7W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Off_8W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,9,07/08/2025 00:08:00,Volt_16,volts,115,115,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,10,07/08/2025 00:09:00,Temp_1,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,10,07/08/2025 00:09:00,Temp_4,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,10,07/08/2025 00:09:00,Temp_2,Temp,21.2,21.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,10,07/08/2025 00:09:00,Temp_3,Temp,21.6,21.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,10,07/08/2025 00:09:00,Temp_5,Temp,21.5,21.5,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,10,07/08/2025 00:09:00,Temp_6,Temp,21.3,21.3,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,10,07/08/2025 00:09:00,Heater_1A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,10,07/08/2025 00:09:00,Heater_2A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,10,07/08/2025 00:09:00,Heater_3A,Amps,0,0,AC5:86437,-10,
