gene_id	module	color
Pocillopora_acuta_HIv2___TS.g10153.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g28292.t1a	ME2	blue
Pocillopora_acuta_HIv2___TS.g28295.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g10157.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g28301.t1	ME9	magenta
Pocillopora_acuta_HIv2___TS.g10172.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g27421.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27422.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27424.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g10211.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27465.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27471.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27479.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10294.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10396.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27689.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27771.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10623.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g28017.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g28123.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g28136.t1a	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g11006.t1	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g28225.t1	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g28373.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g28392.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g11293.t3	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g28522.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___RNAseq.g28551.t1a	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27398.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27399.t1	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g27400.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g10157.t2	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g27403.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g10159.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27405.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27406.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27407.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g10164.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27408.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___RNAseq.g27409.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g27410.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27411.t1	ME8	pink
Pocillopora_acuta_HIv2___TS.g10169.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g27413.t1	ME10	purple
Pocillopora_acuta_HIv2___TS.g10174.t1	ME9	magenta
Pocillopora_acuta_HIv2___TS.g10175.t2b	ME3	brown
Pocillopora_acuta_HIv2___TS.g10175.t2a	ME0	grey
Pocillopora_acuta_HIv2___TS.g10176.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27418.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27419.t1	ME13	salmon
Pocillopora_acuta_HIv2___RNAseq.g27420.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27423.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.29_t	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27428.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27429.t1	ME5	green
Pocillopora_acuta_HIv2___TS.37_t	ME2	blue
Pocillopora_acuta_HIv2___TS.g10192.t2	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27433.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27435.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27437.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10198.t2	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10199.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27441.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27445.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27446.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10210.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27451.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27452.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27453.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27454.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10216.t2	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27456.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27457.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27458.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g27459.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___RNAseq.g27460.t1	ME21	darkred
Pocillopora_acuta_HIv2___RNAseq.g27461.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27462.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27470.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g10231.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27474.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27475.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27476.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27480.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27481.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g27482.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g27483.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10243.t2	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g27485.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g27486.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.97_t	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10247.t2	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g27489.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27490.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27491.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g10252.t2	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27493.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27494.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10254.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27495.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27497.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27498.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27499.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27500.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27501.t1	ME7	black
Pocillopora_acuta_HIv2___TS.g10260.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27502.t1	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g27503.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27504.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27505.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10265.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27508.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27510.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g10272.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27516.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27518.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10279.t1b	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27523.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10282.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27525.t1	ME12	tan
Pocillopora_acuta_HIv2___TS.g10284.t2	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27527.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27529.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g10287.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27531.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27533.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27535.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g10293.t1a	ME2	blue
Pocillopora_acuta_HIv2___TS.g10293.t1b	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27538.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27539.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27541.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g27542.t1	ME7	black
Pocillopora_acuta_HIv2___TS.g10300.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g10301.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27545.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10303.t2	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27547.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27548.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27549.t1	ME13	salmon
Pocillopora_acuta_HIv2___RNAseq.g27550.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g10309.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___TS.g10314.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10315.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10316.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10317.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27559.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27560.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10320.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10321.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27565.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27566.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27567.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27568.t1	ME18	lightgreen
Pocillopora_acuta_HIv2___TS.g10328.t2	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27570.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10330.t2	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27572.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27573.t2	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27574.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.179_t	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27576.t2	ME13	salmon
Pocillopora_acuta_HIv2___RNAseq.g27577.t1	ME14	cyan
Pocillopora_acuta_HIv2___TS.g10337.t2	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10338.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g27581.t1	ME21	darkred
Pocillopora_acuta_HIv2___TS.g10343.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27585.t1	ME9	magenta
Pocillopora_acuta_HIv2___TS.g10345.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27587.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27591.t1	ME13	salmon
Pocillopora_acuta_HIv2___RNAseq.g27592.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.199_t	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27595.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g27596.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g27597.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g27598.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g27599.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g27600.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g27601.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g27602.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g27603.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g27604.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27605.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.213_t	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27607.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27609.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g10368.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g10369.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g10370.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27612.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10374.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27614.t1	ME22	darkgreen
Pocillopora_acuta_HIv2___RNAseq.g27616.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27617.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27618.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27619.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27620.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27621.t1	ME24	darkgrey
Pocillopora_acuta_HIv2___TS.g10384.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27623.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27624.t1	ME10	purple
Pocillopora_acuta_HIv2___TS.g10386.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g27626.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27627.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27628.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27629.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27630.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27632.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27633.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27634.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g10393.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g10394.t2	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27639.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27641.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27642.t1	ME24	darkgrey
Pocillopora_acuta_HIv2___RNAseq.g27647.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27648.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10411.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27652.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27656.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27665.t1	ME23	darkturquoise
Pocillopora_acuta_HIv2___RNAseq.g27666.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27667.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10425.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g27668.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27669.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27670.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g10429.t2	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27673.t1	ME21	darkred
Pocillopora_acuta_HIv2___RNAseq.g27674.t1	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g27675.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27676.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27677.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27678.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27679.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27680.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27681.t1a	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27681.t1b	ME24	darkgrey
Pocillopora_acuta_HIv2___RNAseq.g27681.t1c	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27681.t1d	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27682.t1	ME10	purple
Pocillopora_acuta_HIv2___TS.g10440.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10441.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g10442.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10443.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27685.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27686.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27687.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27688.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27690.t1	ME20	royalblue
Pocillopora_acuta_HIv2___RNAseq.g27691.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g10450.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27693.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27694.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27697.t1	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g27698.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27699.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g27700.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27701.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27702.t1	ME7	black
Pocillopora_acuta_HIv2___TS.g10461.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27704.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10465.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g10466.t2	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27708.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27711.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27712.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g27714.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27717.t1	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g27730.t1	ME7	black
Pocillopora_acuta_HIv2___TS.g10493.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27744.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27748.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27750.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27755.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10518.t1	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g27763.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27768.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27770.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27778.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27779.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27780.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27782.t1	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g27783.t1	ME13	salmon
Pocillopora_acuta_HIv2___RNAseq.g27784.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27785.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27786.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10551.t2	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27788.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27789.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10554.t3	ME2	blue
Pocillopora_acuta_HIv2___TS.g10555.t2	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27792.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27793.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27794.t1c	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27794.t1b	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27794.t1a	ME5	green
Pocillopora_acuta_HIv2___TS.g10560.t2	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27796.t1	ME10	purple
Pocillopora_acuta_HIv2___RNAseq.g27797.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.403_t	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27798.t1	ME14	cyan
Pocillopora_acuta_HIv2___RNAseq.g27800.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27801.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.406_t	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10567.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27805.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27806.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g27822.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27830.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27838.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.445_t	ME4	yellow
Pocillopora_acuta_HIv2___TS.g10606.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27841.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10608.t2	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.448_t	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27844.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27845.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27846.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27847.t2	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27848.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g27849.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27850.t1	ME7	black
Pocillopora_acuta_HIv2___TS.g10616.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27852.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g27853.t1	ME13	salmon
Pocillopora_acuta_HIv2___TS.g10619.t1	ME7	black
Pocillopora_acuta_HIv2___TS.g10620.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27856.t2	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27857.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27860.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27861.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g10626.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10627.t2	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10628.t2	ME5	green
Pocillopora_acuta_HIv2___TS.g10629.t3	ME2	blue
Pocillopora_acuta_HIv2___TS.g10630.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10631.t1	ME4	yellow
Pocillopora_acuta_HIv2___TS.g10632.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g10633.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g10636.t2	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27873.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g10637.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g10638.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27877.t1	ME10	purple
Pocillopora_acuta_HIv2___TS.g10640.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27880.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27881.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g27882.t1	ME9	magenta
Pocillopora_acuta_HIv2___TS.g10644.t1	ME8	pink
Pocillopora_acuta_HIv2___RNAseq.g27884.t1	ME5	green
Pocillopora_acuta_HIv2___TS.g10646.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27886.t1	ME14	cyan
Pocillopora_acuta_HIv2___RNAseq.g27901.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27907.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10701.t3	ME20	royalblue
Pocillopora_acuta_HIv2___RNAseq.541_t	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27941.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27942.t1	ME13	salmon
Pocillopora_acuta_HIv2___RNAseq.g27943.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27944.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27945.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g10710.t2	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27948.t1	ME14	cyan
Pocillopora_acuta_HIv2___RNAseq.g27949.t1	ME14	cyan
Pocillopora_acuta_HIv2___TS.g10713.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g10724.t2a	ME5	green
Pocillopora_acuta_HIv2___TS.g10724.t2b	ME3	brown
Pocillopora_acuta_HIv2___TS.g10724.t2c	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27961.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27962.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g10727.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g27964.t1	ME12	tan
Pocillopora_acuta_HIv2___RNAseq.g27965.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27966.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g27967.t1a	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27967.t1b	ME2	blue
Pocillopora_acuta_HIv2___TS.g10731.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___TS.g10733.t1	ME7	black
Pocillopora_acuta_HIv2___TS.g10734.t1	ME22	darkgreen
Pocillopora_acuta_HIv2___RNAseq.g27972.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27973.t1	ME16	lightcyan
Pocillopora_acuta_HIv2___TS.g10739.t1	ME2	blue
Pocillopora_acuta_HIv2___TS.g10740.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27976.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27977.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g27978.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g27979.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27980.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g27981.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27982.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g27983.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g27984.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g10751.t1	ME6	red
